distance,dependant value
0.25,9000.0
0.25,9000.0
0.25,7000.0
0.25,7000.0
0.25,7000.0
0.25,9000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,9000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,9000.0
0.25,9000.0
0.25,7000.0
0.25,9000.0
0.25,9000.0
0.75,5000.0
0.75,5000.0
0.75,5000.0
0.75,5000.0
0.75,5000.0
0.75,5000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,3000.0
1.0,9000.0
1.0,9000.0
1.0,9000.0
1.25,7000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
1.25,1000.0
Predicted regression value of Expected Graduation Salary based on 25 nearest neighbor for the given CurrentCGPA which is 3.75 is: 8280.0
